pwp_key,pwp_className,pwp_WorkflowName,pwp_WFStateName,pwp_displayName,pwp_libraryId1,pwp_type1,pwp_role1,pwp_value1,pwp_libraryId2,pwp_type2,pwp_role2,pwp_value2,pwp_equal_perms
Operating ActivityOperating ActivityLower Tumut OIAO Operations LT,Operating Activity,Operating Activity,Lower Tumut OI,AO Operations LT,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-operationslt@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-operationslt@snowyhydro.com.au,True
Operating ActivityOperating ActivityLower Tumut OIAO Administration,Operating Activity,Operating Activity,Lower Tumut OI,AO Administration,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-administration@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-administration@snowyhydro.com.au,True
Operating ActivityOperating ActivityKosciuszko OIAO All Snowy Hydro,Operating Activity,Operating Activity,Kosciuszko OI,AO All Snowy Hydro,Pu5DR2x6C1SasBULr8,GROUP,READER,ao-allsnowyhydro@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-allsnowyhydro@snowyhydro.com.au,True
Operating ActivityOperating ActivityKosciuszko OIAO Operations K,Operating Activity,Operating Activity,Kosciuszko OI,AO Operations K,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-operationsk@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-operationsk@snowyhydro.com.au,True
Operating ActivityOperating ActivityKosciuszko OIAO Administration,Operating Activity,Operating Activity,Kosciuszko OI,AO Administration,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-administration@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-administration@snowyhydro.com.au,True
Operating ActivityOperating ActivityColongra OIAO All Snowy Hydro,Operating Activity,Operating Activity,Colongra OI,AO All Snowy Hydro,Pu5DR2x6C1SasBULr8,GROUP,READER,ao-allsnowyhydro@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-allsnowyhydro@snowyhydro.com.au,True
Operating ActivityOperating ActivityColongra OIAO Operations Colongra,Operating Activity,Operating Activity,Colongra OI,AO Operations Colongra,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-operationsngd@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-operationsngd@snowyhydro.com.au,True
Operating ActivityOperating ActivityColongra OIAO Administration,Operating Activity,Operating Activity,Colongra OI,AO Administration,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-administration@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-administration@snowyhydro.com.au,True
Operating ActivityOperating ActivityLaverton North OIAO All Snowy Hydro,Operating Activity,Operating Activity,Laverton North OI,AO All Snowy Hydro,Pu5DR2x6C1SasBULr8,GROUP,READER,ao-allsnowyhydro@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-allsnowyhydro@snowyhydro.com.au,True
Operating ActivityOperating ActivityLaverton North OIAO Operations LN,Operating Activity,Operating Activity,Laverton North OI,AO Operations LN,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-operationsln@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-operationsln@snowyhydro.com.au,True
Operating ActivityOperating ActivityLaverton North OIAO Administration,Operating Activity,Operating Activity,Laverton North OI,AO Administration,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-administration@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-administration@snowyhydro.com.au,True
Operating ActivityOperating ActivitySA Diesels OIAO All Snowy Hydro,Operating Activity,Operating Activity,SA Diesels OI,AO All Snowy Hydro,Pu5DR2x6C1SasBULr8,GROUP,READER,ao-allsnowyhydro@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-allsnowyhydro@snowyhydro.com.au,True
Operating ActivityOperating ActivitySA Diesels OIAO Production SA Diesels,Operating Activity,Operating Activity,SA Diesels OI,AO Production SA Diesels,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-prodsadiesels@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-prodsadiesels@snowyhydro.com.au,True
Operating ActivityOperating ActivitySA Diesels OIAO Administration,Operating Activity,Operating Activity,SA Diesels OI,AO Administration,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-administration@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-administration@snowyhydro.com.au,True
Operating ActivityOperating ActivityValley Power OIAO All Snowy Hydro,Operating Activity,Operating Activity,Valley Power OI,AO All Snowy Hydro,Pu5DR2x6C1SasBULr8,GROUP,READER,ao-allsnowyhydro@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-allsnowyhydro@snowyhydro.com.au,True
Operating ActivityOperating ActivityValley Power OIAO Operations VP,Operating Activity,Operating Activity,Valley Power OI,AO Operations VP,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-operationsvp@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-operationsvp@snowyhydro.com.au,True
Operating ActivityOperating ActivityValley Power OIAO Administration,Operating Activity,Operating Activity,Valley Power OI,AO Administration,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-administration@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-administration@snowyhydro.com.au,True
Operating ActivityOperating ActivityMurrayAO All Snowy Hydro,Operating Activity,Operating Activity,Murray,AO All Snowy Hydro,Pu5DR2x6C1SasBULr8,GROUP,READER,ao-allsnowyhydro@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-allsnowyhydro@snowyhydro.com.au,True
Operating ActivityOperating ActivityMurrayAO Operations M,Operating Activity,Operating Activity,Murray,AO Operations M,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-operationsm@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-operationsm@snowyhydro.com.au,True
Operating ActivityOperating ActivityMurrayAO Administration,Operating Activity,Operating Activity,Murray,AO Administration,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-administration@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-administration@snowyhydro.com.au,True
Operating ActivityOperating ActivityMurray OIAO All Snowy Hydro,Operating Activity,Operating Activity,Murray OI,AO All Snowy Hydro,Pu5DR2x6C1SasBULr8,GROUP,READER,ao-allsnowyhydro@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-allsnowyhydro@snowyhydro.com.au,True
Operating ActivityOperating ActivityMurray OIAO Operations M,Operating Activity,Operating Activity,Murray OI,AO Operations M,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-operationsm@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-operationsm@snowyhydro.com.au,True
Operating ActivityOperating ActivityDraft Murray OI,Operating Activity,Operating Activity,Draft Murray OI,,Pu5DR2x6C1SasBULr8,NOTVISIBLE,NOPERMISSION,,Pi6VQAw4szhUcyHGpy,NOTVISIBLE,NOPERMISSION,,True
Operating ActivityOperating ActivityMurray OI Pending ApprovalMurray OI Approver,Operating Activity,Operating Activity,Murray OI Pending Approval,Murray OI Approver,Pu5DR2x6C1SasBULr8,ROLE,WRITER,QxN68crvAijOQGwfBl,Pi6VQAw4szhUcyHGpy,ROLE,WRITER,SE7CC82u74uaeOaW2r,False
Operating ActivityOperating ActivitySMCC OI Pending Approval (ARCHIVED)SMCC OI Approver,Operating Activity,Operating Activity,SMCC OI Pending Approval (ARCHIVED),SMCC OI Approver,Pu5DR2x6C1SasBULr8,ROLE,WRITER,Q63ZeG0000001152u4,Pi6VQAw4szhUcyHGpy,ROLE,WRITER,SE7CTsR77BcFAY36Dv,False
Operating ActivityOperating ActivityDraft SMCC OI (ARCHIVED)Readers,Operating Activity,Operating Activity,Draft SMCC OI (ARCHIVED),Readers,Pu5DR2x6C1SasBULr8,ROLE,READER,READERS,,,,,False
Operating ActivityOperating ActivitySMCC OI Discarded (ARCHIVED)Readers,Operating Activity,Operating Activity,SMCC OI Discarded (ARCHIVED),Readers,Pu5DR2x6C1SasBULr8,ROLE,READER,READERS,,,,,False
Operating ActivityOperating ActivitySMCC OI Discarded (ARCHIVED)AO Generation Operations,Operating Activity,Operating Activity,SMCC OI Discarded (ARCHIVED),AO Generation Operations,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-genop@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-genop@snowyhydro.com.au,True
Operating ActivityOperating ActivitySuggestion Raised (ARCHIVED)AO All Snowy Hydro,Operating Activity,Operating Activity,Suggestion Raised (ARCHIVED),AO All Snowy Hydro,Pu5DR2x6C1SasBULr8,GROUP,COMMENTER,ao-allsnowyhydro@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,COMMENTER,ao-allsnowyhydro@snowyhydro.com.au,True
Operating ActivityOperating ActivitySuggestion Raised (ARCHIVED)AO Generation Operations,Operating Activity,Operating Activity,Suggestion Raised (ARCHIVED),AO Generation Operations,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-genop@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-genop@snowyhydro.com.au,True
Market Regulation & ComplianceRegulation and ComplianceIdleReaders,Market Regulation & Compliance,Regulation and Compliance,Idle,Readers,Pu5DR2x6C1SasBULr8,ROLE,READER,READERS,Pi6VQAw4szhUcyHGpy,ROLE,READER,READERS,True
Market Regulation & ComplianceRegulation and ComplianceIdleAO Reg & Compliance - Assets,Market Regulation & Compliance,Regulation and Compliance,Idle,AO Reg & Compliance - Assets,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-regcompassets@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-regcompassets@snowyhydro.com.au,True
Market Regulation & ComplianceRegulation and ComplianceConnection AgreementReaders,Market Regulation & Compliance,Regulation and Compliance,Connection Agreement,Readers,Pu5DR2x6C1SasBULr8,ROLE,READER,READERS,Pi6VQAw4szhUcyHGpy,ROLE,READER,READERS,True
Market Regulation & ComplianceRegulation and ComplianceConnection AgreementAO AME Engineering Systems & Support,Market Regulation & Compliance,Regulation and Compliance,Connection Agreement,AO AME Engineering Systems & Support,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-ameengsystemssupport@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-ameengsystemssupport@snowyhydro.com.au,True
Market Regulation & ComplianceRegulation and ComplianceConnection AgreementAO Corporate Law,Market Regulation & Compliance,Regulation and Compliance,Connection Agreement,AO Corporate Law,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-corporatelaw@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-corporatelaw@snowyhydro.com.au,True
Market Regulation & ComplianceRegulation and ComplianceGeneration LicenceReaders,Market Regulation & Compliance,Regulation and Compliance,Generation Licence,Readers,Pu5DR2x6C1SasBULr8,ROLE,READER,READERS,Pi6VQAw4szhUcyHGpy,ROLE,READER,READERS,True
Market Regulation & ComplianceRegulation and ComplianceGeneration LicenceAO AME Engineering Systems & Support,Market Regulation & Compliance,Regulation and Compliance,Generation Licence,AO AME Engineering Systems & Support,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-ameengsystemssupport@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-ameengsystemssupport@snowyhydro.com.au,True
Market Regulation & ComplianceRegulation and ComplianceGeneration LicenceAO Corporate Law,Market Regulation & Compliance,Regulation and Compliance,Generation Licence,AO Corporate Law,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-corporatelaw@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-corporatelaw@snowyhydro.com.au,True
Market Regulation & ComplianceRegulation and ComplianceGenerator Modelling and VerificationReaders,Market Regulation & Compliance,Regulation and Compliance,Generator Modelling and Verification,Readers,Pu5DR2x6C1SasBULr8,ROLE,READER,READERS,Pi6VQAw4szhUcyHGpy,ROLE,READER,READERS,True
Market Regulation & ComplianceRegulation and ComplianceGenerator Modelling and VerificationAO AME Engineering Systems & Support,Market Regulation & Compliance,Regulation and Compliance,Generator Modelling and Verification,AO AME Engineering Systems & Support,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-ameengsystemssupport@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-ameengsystemssupport@snowyhydro.com.au,True
Market Regulation & ComplianceRegulation and ComplianceGenerator Modelling and VerificationAO AME Asset Technology,Market Regulation & Compliance,Regulation and Compliance,Generator Modelling and Verification,AO AME Asset Technology,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-ameassettechnology@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-ameassettechnology@snowyhydro.com.au,True
Market Regulation & ComplianceRegulation and ComplianceGenerator Modelling and VerificationAO AME Engineering,Market Regulation & Compliance,Regulation and Compliance,Generator Modelling and Verification,AO AME Engineering,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-ameengineering@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-ameengineering@snowyhydro.com.au,True
Market Regulation & ComplianceRegulation and ComplianceGenerator Performance StdsReaders,Market Regulation & Compliance,Regulation and Compliance,Generator Performance Stds,Readers,Pu5DR2x6C1SasBULr8,ROLE,READER,READERS,Pi6VQAw4szhUcyHGpy,ROLE,READER,READERS,True
Market Regulation & ComplianceRegulation and ComplianceGenerator Performance StdsAO AME Engineering Systems & Support,Market Regulation & Compliance,Regulation and Compliance,Generator Performance Stds,AO AME Engineering Systems & Support,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-ameengsystemssupport@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-ameengsystemssupport@snowyhydro.com.au,True
Market Regulation & ComplianceRegulation and ComplianceG P Standards Compliance ProgReaders,Market Regulation & Compliance,Regulation and Compliance,G P Standards Compliance Prog,Readers,Pu5DR2x6C1SasBULr8,ROLE,READER,READERS,Pi6VQAw4szhUcyHGpy,ROLE,READER,READERS,True
Market Regulation & ComplianceRegulation and ComplianceG P Standards Compliance ProgAO AME Engineering Systems & Support,Market Regulation & Compliance,Regulation and Compliance,G P Standards Compliance Prog,AO AME Engineering Systems & Support,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-ameengsystemssupport@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-ameengsystemssupport@snowyhydro.com.au,True
Market Regulation & ComplianceRegulation and ComplianceG P Standards Test ResultsReaders,Market Regulation & Compliance,Regulation and Compliance,G P Standards Test Results,Readers,Pu5DR2x6C1SasBULr8,ROLE,READER,READERS,Pi6VQAw4szhUcyHGpy,ROLE,READER,READERS,True
Market Regulation & ComplianceRegulation and ComplianceG P Standards Test ResultsAO Reg & Compliance - Assets,Market Regulation & Compliance,Regulation and Compliance,G P Standards Test Results,AO Reg & Compliance - Assets,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-regcompassets@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-regcompassets@snowyhydro.com.au,True
Market Regulation & ComplianceRegulation and ComplianceProjects Affecting ComplianceReaders,Market Regulation & Compliance,Regulation and Compliance,Projects Affecting Compliance,Readers,Pu5DR2x6C1SasBULr8,ROLE,READER,READERS,Pi6VQAw4szhUcyHGpy,ROLE,READER,READERS,True
Market Regulation & ComplianceRegulation and ComplianceProjects Affecting ComplianceAO Reg & Compliance - Assets,Market Regulation & Compliance,Regulation and Compliance,Projects Affecting Compliance,AO Reg & Compliance - Assets,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-regcompassets@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-regcompassets@snowyhydro.com.au,True
Market Regulation & ComplianceRegulation and ComplianceAncillary ServicesReaders,Market Regulation & Compliance,Regulation and Compliance,Ancillary Services,Readers,Pu5DR2x6C1SasBULr8,ROLE,READER,READERS,Pi6VQAw4szhUcyHGpy,ROLE,READER,READERS,True
Market Regulation & ComplianceRegulation and ComplianceAncillary ServicesAO AME Engineering Systems & Support,Market Regulation & Compliance,Regulation and Compliance,Ancillary Services,AO AME Engineering Systems & Support,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-ameengsystemssupport@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-ameengsystemssupport@snowyhydro.com.au,True
Market Regulation & ComplianceRegulation and ComplianceAncillary ServicesAO AME Asset Technology,Market Regulation & Compliance,Regulation and Compliance,Ancillary Services,AO AME Asset Technology,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-ameassettechnology@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-ameassettechnology@snowyhydro.com.au,True
Market Regulation & ComplianceRegulation and ComplianceAncillary ServicesAO Corporate Law,Market Regulation & Compliance,Regulation and Compliance,Ancillary Services,AO Corporate Law,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-corporatelaw@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-corporatelaw@snowyhydro.com.au,True
Market Regulation & ComplianceRegulation and ComplianceAncillary ServicesAO Generation Operations,Market Regulation & Compliance,Regulation and Compliance,Ancillary Services,AO Generation Operations,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-genop@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-genop@snowyhydro.com.au,True
Market Regulation & ComplianceRegulation and ComplianceAncillary ServicesAO AME Engineering,Market Regulation & Compliance,Regulation and Compliance,Ancillary Services,AO AME Engineering,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-ameengineering@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-ameengineering@snowyhydro.com.au,True
Market Regulation & ComplianceRegulation and Compliance NER 5.3.9Readers,Market Regulation & Compliance,Regulation and Compliance, NER 5.3.9,Readers,Pu5DR2x6C1SasBULr8,ROLE,READER,READERS,,,,,False
Market Regulation & ComplianceRegulation and Compliance NER 5.3.9AO AME Engineering Systems & Support,Market Regulation & Compliance,Regulation and Compliance, NER 5.3.9,AO AME Engineering Systems & Support,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-ameengsystemssupport@snowyhydro.com.au,,,,,False
Market Regulation & ComplianceRegulation and Compliance NER 5.3.9AO AME Asset Technology,Market Regulation & Compliance,Regulation and Compliance, NER 5.3.9,AO AME Asset Technology,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-ameassettechnology@snowyhydro.com.au,,,,,False
Market Regulation & ComplianceRegulation and Compliance NER 5.3.9Brian Williams,Market Regulation & Compliance,Regulation and Compliance, NER 5.3.9,Brian Williams,Pu5DR2x6C1SasBULr8,USER,WRITER,brian.williams@snowyhydro.com.au,,,,,False
Market Regulation & ComplianceRegulation and Compliance NER 5.3.9AO AME Engineering,Market Regulation & Compliance,Regulation and Compliance, NER 5.3.9,AO AME Engineering,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-ameengineering@snowyhydro.com.au,,,,,False
Market Regulation & ComplianceRegulation and ComplianceRevenue MeteringReaders,Market Regulation & Compliance,Regulation and Compliance,Revenue Metering,Readers,Pu5DR2x6C1SasBULr8,ROLE,READER,READERS,Pi6VQAw4szhUcyHGpy,ROLE,READER,READERS,True
Market Regulation & ComplianceRegulation and ComplianceRevenue MeteringAO AME Engineering Systems & Support,Market Regulation & Compliance,Regulation and Compliance,Revenue Metering,AO AME Engineering Systems & Support,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-ameengsystemssupport@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-ameengsystemssupport@snowyhydro.com.au,True
Market Regulation & ComplianceRegulation and ComplianceRevenue MeteringAO Corporate Law,Market Regulation & Compliance,Regulation and Compliance,Revenue Metering,AO Corporate Law,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-corporatelaw@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-corporatelaw@snowyhydro.com.au,True
Strategic Asset SpecificationStrategic Asset SpecificationIdle,Strategic Asset Specification,Strategic Asset Specification,Idle,,Pu5DR2x6C1SasBULr8,NOTVISIBLE,NOPERMISSION,,,,,,False
